start_date,end_date,category,start,stop,miles,purpose,hour,day,weekday,month
2016-01-01 21:11:00,01-01-2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,21,1,Friday,1
2016-01-02 20:25:00,01-02-2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,20,2,Saturday,1
2016-01-05 17:31:00,01-05-2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting,17,5,Tuesday,1
2016-01-06 14:42:00,01-06-2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,14,6,Wednesday,1
2016-01-06 17:15:00,01-06-2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,17,6,Wednesday,1
2016-01-06 17:30:00,01-06-2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting,17,6,Wednesday,1
2016-01-07 13:27:00,01-07-2016 13:33,Business,Cary,Cary,0.8,Meeting,13,7,Thursday,1
2016-01-10 08:05:00,01-10-2016 08:25,Business,Cary,Morrisville,8.3,Meeting,8,10,Sunday,1
2016-01-10 12:17:00,01-10-2016 12:44,Business,Jamaica,New York,16.5,Customer Visit,12,10,Sunday,1
2016-01-10 15:08:00,01-10-2016 15:51,Business,New York,Queens,10.8,Meeting,15,10,Sunday,1
2016-01-10 18:18:00,01-10-2016 18:53,Business,Elmhurst,New York,7.5,Meeting,18,10,Sunday,1
2016-01-10 19:12:00,01-10-2016 19:32,Business,Midtown,East Harlem,6.2,Meeting,19,10,Sunday,1
2016-01-11 08:55:00,01-11-2016 09:21,Business,East Harlem,NoMad,6.4,Temporary Site,8,11,Monday,1
2016-01-11 11:56:00,01-11-2016 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies,11,11,Monday,1
2016-01-11 13:32:00,01-11-2016 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain,13,11,Monday,1
2016-01-11 14:30:00,01-11-2016 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain,14,11,Monday,1
2016-01-12 12:33:00,01-12-2016 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain,12,12,Tuesday,1
2016-01-12 12:53:00,01-12-2016 13:09,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,12,12,Tuesday,1
2016-01-12 14:42:00,01-12-2016 14:56,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,14,12,Tuesday,1
2016-01-12 15:13:00,01-12-2016 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,15,12,Tuesday,1
2016-01-12 15:42:00,01-12-2016 15:54,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,15,12,Tuesday,1
2016-01-12 16:02:00,01-12-2016 17:00,Business,New York,Queens County,15.1,Meeting,16,12,Tuesday,1
2016-02-01 10:35:00,02-01-2016 11:15,Business,Cary,Chapel Hill,19.4,Customer Visit,10,1,Monday,2
2016-02-01 12:10:00,02-01-2016 12:43,Business,Chapel Hill,Cary,23.3,Customer Visit,12,1,Monday,2
2016-02-01 12:56:00,02-01-2016 13:07,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,12,1,Monday,2
2016-02-02 13:04:00,02-02-2016 13:23,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,13,2,Tuesday,2
2016-02-02 13:51:00,02-02-2016 14:06,Business,Cary,Cary,6.0,Errand/Supplies,13,2,Tuesday,2
2016-02-02 14:38:00,02-02-2016 14:42,Business,Cary,Cary,1.6,Errand/Supplies,14,2,Tuesday,2
2016-02-04 08:40:00,02-04-2016 09:01,Business,Cary,Morrisville,5.2,Errand/Supplies,8,4,Thursday,2
2016-02-04 09:37:00,02-04-2016 10:09,Business,Morrisville,Cary,9.7,Meal/Entertain,9,4,Thursday,2
2016-02-04 10:26:00,02-04-2016 10:32,Business,Cary,Cary,1.6,Meal/Entertain,10,4,Thursday,2
2016-02-04 15:59:00,02-04-2016 16:03,Business,Cary,Cary,1.1,Meal/Entertain,15,4,Thursday,2
2016-02-04 16:35:00,02-04-2016 16:39,Business,Cary,Cary,1.6,Meal/Entertain,16,4,Thursday,2
2016-02-04 18:04:00,02-04-2016 18:31,Business,Whitebridge,Macgregor Downs,9.0,Meeting,18,4,Thursday,2
2016-02-04 20:36:00,02-04-2016 20:55,Business,Cary,Cary,7.7,Meeting,20,4,Thursday,2
2016-02-05 11:47:00,02-05-2016 12:07,Business,Cary,Durham,10.4,Meeting,11,5,Friday,2
2016-02-05 13:22:00,02-05-2016 13:41,Business,Durham,Cary,10.4,Meeting,13,5,Friday,2
2016-02-06 16:20:00,02-06-2016 16:53,Business,Cary,Raleigh,11.4,Between Offices,16,6,Saturday,2
2016-02-06 18:57:00,02-06-2016 19:21,Business,Raleigh,Cary,9.0,Errand/Supplies,18,6,Saturday,2
2016-02-06 19:28:00,02-06-2016 19:37,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,19,6,Saturday,2
2016-02-07 16:49:00,02-07-2016 17:01,Business,Cary,Apex,5.6,Errand/Supplies,16,7,Sunday,2
2016-02-07 18:03:00,02-07-2016 18:17,Business,Apex,Cary,5.7,Customer Visit,18,7,Sunday,2
2016-02-07 18:39:00,02-07-2016 18:53,Business,Cary,Morrisville,6.1,Temporary Site,18,7,Sunday,2
2016-02-07 20:22:00,02-07-2016 20:40,Business,Morrisville,Cary,6.1,Meeting,20,7,Sunday,2
2016-02-08 12:57:00,02-08-2016 13:08,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,12,8,Monday,2
2016-02-08 14:00:00,02-08-2016 14:10,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,14,8,Monday,2
2016-02-09 20:24:00,02-09-2016 20:40,Business,Morrisville,Cary,6.1,Meal/Entertain,20,9,Tuesday,2
2016-02-11 16:28:00,02-11-2016 17:10,Business,Cary,Raleigh,17.3,Meal/Entertain,16,11,Thursday,2
2016-02-11 17:49:00,02-11-2016 18:10,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,17,11,Thursday,2
2016-02-11 18:24:00,02-11-2016 18:46,Business,Raleigh,Morrisville,13.5,Temporary Site,18,11,Thursday,2
2016-02-11 20:36:00,02-11-2016 20:51,Business,Morrisville,Cary,6.1,Temporary Site,20,11,Thursday,2
2016-02-12 08:21:00,02-12-2016 08:42,Business,Cary,Durham,8.5,Temporary Site,8,12,Friday,2
2016-02-12 10:45:00,02-12-2016 10:52,Business,Durham,Morrisville,2.6,Temporary Site,10,12,Friday,2
2016-02-12 11:14:00,02-12-2016 11:35,Business,Morrisville,Raleigh,17.0,Customer Visit,11,12,Friday,2
2016-02-12 13:02:00,02-12-2016 13:36,Business,Raleigh,Cary,18.0,Meeting,13,12,Friday,2
2016-02-12 14:49:00,02-12-2016 15:06,Business,Cary,Morrisville,8.4,Meeting,14,12,Friday,2
2016-02-12 15:33:00,02-12-2016 16:06,Business,Morrisville,Cary,11.5,Customer Visit,15,12,Friday,2
2016-03-01 18:47:00,03-01-2016 19:10,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,18,1,Tuesday,3
2016-03-01 21:27:00,03-01-2016 21:45,Business,Wayne Ridge,Whitebridge,8.0,Meeting,21,1,Tuesday,3
2016-03-03 11:04:00,03-03-2016 11:10,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,11,3,Thursday,3
2016-03-03 14:44:00,03-03-2016 14:58,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,14,3,Thursday,3
2016-03-03 15:27:00,03-03-2016 15:48,Business,Cary,Raleigh,7.6,Customer Visit,15,3,Thursday,3
2016-03-03 16:02:00,03-03-2016 16:42,Business,Raleigh,Cary,17.3,Meeting,16,3,Thursday,3
2016-03-04 07:47:00,03-04-2016 08:06,Business,Cary,Durham,9.9,Meeting,7,4,Friday,3
2016-03-04 09:46:00,03-04-2016 10:03,Business,Durham,Cary,9.9,Customer Visit,9,4,Friday,3
2016-03-04 11:46:00,03-04-2016 12:06,Business,Cary,Durham,10.4,Meeting,11,4,Friday,3
2016-03-04 13:03:00,03-04-2016 13:25,Business,Durham,Cary,10.9,Meeting,13,4,Friday,3
2016-03-04 13:40:00,03-04-2016 14:09,Business,Cary,Raleigh,15.7,Customer Visit,13,4,Friday,3
2016-03-04 15:56:00,03-04-2016 16:08,Business,Raleigh,Raleigh,4.9,Meal/Entertain,15,4,Friday,3
2016-03-04 16:16:00,03-04-2016 16:22,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,16,4,Friday,3
2016-03-04 16:43:00,03-04-2016 17:12,Business,Raleigh,Cary,13.5,Meeting,16,4,Friday,3
2016-03-04 19:02:00,03-04-2016 19:08,Business,Cary,Morrisville,1.9,Temporary Site,19,4,Friday,3
2016-03-04 19:16:00,03-04-2016 19:25,Business,Morrisville,Cary,2.0,Meal/Entertain,19,4,Friday,3
2016-03-05 11:44:00,03-05-2016 11:59,Business,Cary,Morrisville,6.5,Meal/Entertain,11,5,Saturday,3
2016-03-05 14:39:00,03-05-2016 15:01,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain,14,5,Saturday,3
2016-03-05 16:52:00,03-05-2016 17:13,Business,Cary,Morrisville,7.8,Meal/Entertain,16,5,Saturday,3
2016-03-05 17:23:00,03-05-2016 17:34,Business,Morrisville,Cary,3.9,Meal/Entertain,17,5,Saturday,3
2016-03-07 09:10:00,03-07-2016 09:20,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,9,7,Monday,3
2016-03-07 09:23:00,03-07-2016 09:47,Business,Cary,Raleigh,12.4,Customer Visit,9,7,Monday,3
2016-03-07 12:10:00,03-07-2016 12:26,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit,12,7,Monday,3
2016-03-07 13:57:00,03-07-2016 14:18,Business,Meredith Townes,Leesville Hollow,9.4,Meeting,13,7,Monday,3
2016-03-07 15:19:00,03-07-2016 15:45,Business,Raleigh,Cary,11.9,Between Offices,15,7,Monday,3
2016-03-08 14:38:00,03-08-2016 14:55,Business,Whitebridge,Waverly Place,7.2,Between Offices,14,8,Tuesday,3
2016-03-08 15:35:00,03-08-2016 16:00,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain,15,8,Tuesday,3
2016-03-10 03:36:00,03-10-2016 03:53,Business,Cary,Morrisville,8.4,Meeting,3,10,Thursday,3
2016-03-10 10:08:00,03-10-2016 10:37,Business,East Austin,West University,12.8,Meeting,10,10,Thursday,3
2016-03-11 09:47:00,03-11-2016 09:59,Business,The Drag,Congress Ave District,2.0,Meal/Entertain,9,11,Friday,3
2016-04-01 13:43:00,04-01-2016 14:01,Business,Kissimmee,Kissimmee,11.0,Meeting,13,1,Friday,4
2016-04-01 14:36:00,04-01-2016 15:24,Business,Kissimmee,Orlando,15.5,Customer Visit,14,1,Friday,4
2016-04-01 16:01:00,04-01-2016 16:49,Business,Orlando,Kissimmee,20.3,Meeting,16,1,Friday,4
2016-04-02 12:21:00,04-02-2016 14:47,Business,Kissimmee,Daytona Beach,77.3,Customer Visit,12,2,Saturday,4
2016-04-02 16:57:00,04-02-2016 18:09,Business,Daytona Beach,Jacksonville,80.5,Customer Visit,16,2,Saturday,4
2016-04-02 19:38:00,04-02-2016 22:36,Business,Jacksonville,Ridgeland,174.2,Customer Visit,19,2,Saturday,4
2016-04-02 23:11:00,04-03-2016 01:34,Business,Ridgeland,Florence,144.0,Meeting,23,2,Saturday,4
2016-04-03 02:00:00,04-03-2016 04:16,Business,Florence,Cary,159.3,Meeting,2,3,Sunday,4
2016-04-05 21:39:00,04-05-2016 21:55,Business,Whitebridge,Wayne Ridge,7.9,Meal/Entertain,21,5,Tuesday,4
2016-04-06 00:19:00,04-06-2016 00:39,Business,Wayne Ridge,Whitebridge,8.0,Meal/Entertain,0,6,Wednesday,4
2016-04-07 18:20:00,04-07-2016 18:39,Business,Cary,Morrisville,6.1,Meal/Entertain,18,7,Thursday,4
2016-04-07 19:45:00,04-07-2016 20:00,Business,Morrisville,Cary,6.1,Errand/Supplies,19,7,Thursday,4
2016-04-08 12:30:00,04-08-2016 12:48,Business,Cary,Durham,10.5,Meeting,12,8,Friday,4
2016-04-08 13:34:00,04-08-2016 13:51,Business,Durham,Cary,8.7,Meal/Entertain,13,8,Friday,4
2016-04-08 13:55:00,04-08-2016 14:03,Business,Westpark Place,Whitebridge,1.8,Errand/Supplies,13,8,Friday,4
2016-04-08 14:43:00,04-08-2016 15:20,Business,Cary,Raleigh,19.1,Meeting,14,8,Friday,4
2016-04-08 16:05:00,04-08-2016 16:47,Business,Raleigh,Cary,18.6,Meeting,16,8,Friday,4
2016-04-12 09:15:00,04-12-2016 09:26,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,9,12,Tuesday,4
2016-04-12 09:34:00,04-12-2016 09:53,Business,Cary,Raleigh,8.9,Meeting,9,12,Tuesday,4
2016-04-12 10:58:00,04-12-2016 11:18,Business,Meredith,Cedar Hill,7.5,Customer Visit,10,12,Tuesday,4
2016-04-12 12:22:00,04-12-2016 12:44,Business,Raleigh,Morrisville,15.9,Meeting,12,12,Tuesday,4
2016-04-12 13:42:00,04-12-2016 14:01,Business,Morrisville,Cary,6.5,Meal/Entertain,13,12,Tuesday,4
2016-05-01 13:45:00,05-01-2016 13:53,Business,Whitebridge,Westpark Place,2.1,Meal/Entertain,13,1,Sunday,5
2016-05-01 17:33:00,05-01-2016 17:45,Business,Whitebridge,Tanglewood,6.2,Between Offices,17,1,Sunday,5
2016-05-01 17:54:00,05-01-2016 18:10,Business,Tanglewood,Parkway,7.5,Meeting,17,1,Sunday,5
2016-05-01 22:38:00,05-01-2016 22:49,Business,Parkway,Whitebridge,3.1,Errand/Supplies,22,1,Sunday,5
2016-05-02 14:14:00,05-02-2016 14:21,Business,Whitebridge,Westpark Place,2.2,Errand/Supplies,14,2,Monday,5
2016-05-02 15:37:00,05-02-2016 15:48,Business,Westpark Place,Whitebridge,3.9,Meal/Entertain,15,2,Monday,5
2016-05-03 22:20:00,05-03-2016 22:28,Business,Morrisville,Cary,2.5,Meal/Entertain,22,3,Tuesday,5
2016-05-04 15:16:00,05-04-2016 15:37,Business,Cary,Morrisville,8.7,Meal/Entertain,15,4,Wednesday,5
2016-05-04 20:55:00,05-04-2016 21:14,Business,Mcvan,Capitol One,14.5,Errand/Supplies,20,4,Wednesday,5
2016-05-04 21:30:00,05-04-2016 21:36,Business,Capitol One,University District,4.5,Meal/Entertain,21,4,Wednesday,5
2016-05-04 22:19:00,05-04-2016 22:27,Business,University District,Capitol One,5.0,Meal/Entertain,22,4,Wednesday,5
2016-05-05 21:24:00,05-05-2016 21:36,Business,Seattle,Redmond,14.2,Meal/Entertain,21,5,Thursday,5
2016-05-05 22:34:00,05-05-2016 22:40,Business,Redmond,Bellevue,2.9,Errand/Supplies,22,5,Thursday,5
2016-05-05 23:55:00,05-06-2016 00:08,Business,Bellevue,Seattle,12.9,Meeting,23,5,Thursday,5
2016-05-06 05:47:00,05-06-2016 06:02,Business,Capitol One,Mcvan,14.4,Meeting,5,6,Friday,5
2016-05-06 16:45:00,05-06-2016 16:59,Business,Chapel Hill,Morrisville,17.0,Meeting,16,6,Friday,5
2016-05-06 17:18:00,05-06-2016 17:44,Business,Morrisville,Cary,7.9,Customer Visit,17,6,Friday,5
2016-05-09 06:08:00,05-09-2016 06:25,Business,Cary,Morrisville,8.4,Customer Visit,6,9,Monday,5
2016-05-09 14:39:00,05-09-2016 15:06,Business,San Francisco,Palo Alto,20.5,Between Offices,14,9,Monday,5
